feature;importancia
DIF_PSICOPEDAGOGICO_NIVEL_3.6458333330000006;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.90625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.9583333329999997;0,0
DIF_PSICOPEDAGOGICO_NIVEL_4.0625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_4.166666666999999;0,0
DIF_PSICOPEDAGOGICO_NIVEL_4.21875;0,0
DIF_PSICOPEDAGOGICO_NIVEL_4.375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_4.53125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_4.583333333000001;0,0
DIF_PSICOPEDAGOGICO_NIVEL_4.6875;0,0
DIF_PSICOPEDAGOGICO_NIVEL_5.0;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.6666666670000003;0,0
DIF_PSICOPEDAGOGICO_NIVEL_5.375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_5.625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_5.78125;0,0
IPP_4.166666667;0,0
IPP_10.0;0,0
INSTITUICAO_ENSINO_Bolsista Universitário *Formado (a);0,0
INSTITUICAO_ENSINO_Colégio Albert Einstein;0,0
INSTITUICAO_ENSINO_Colégio Albert Einstein - SP;0,0
INSTITUICAO_ENSINO_Colégio Franciscano Santa Clara;0,0
INSTITUICAO_ENSINO_Colégio Nogueira e Sonho de Criança;0,0
INSTITUICAO_ENSINO_Colégio Poliedro - SP;0,0
INSTITUICAO_ENSINO_Concluiu o 3º EM;0,0
INSTITUICAO_ENSINO_EE Alexandre Rodrigues Nogueira;0,0
INSTITUICAO_ENSINO_EE Bairro Boa Vista;0,0
INSTITUICAO_ENSINO_EE Chácara Florida II;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.375;0,0
FASE_3L;0,0
INSTITUICAO_ENSINO_EE Francisco de Paula Teixeira;0,0
INSTITUICAO_ENSINO_EE Helio Luiz Dobrochinski Prof;0,0
INSTITUICAO_ENSINO_EE Jardim Campestre;0,0
INSTITUICAO_ENSINO_EE Jardim Silvania;0,0
INSTITUICAO_ENSINO_EE Joaquim Mendes Feliz;0,0
INSTITUICAO_ENSINO_EE João Ortiz Rodrigues;0,0
INSTITUICAO_ENSINO_EE Leonice de Aquino Oliveira;0,0
INSTITUICAO_ENSINO_EE Levi Pereira Martins Professor;0,0
INSTITUICAO_ENSINO_EE Loris Nassif Mattar Profa;0,0
INSTITUICAO_ENSINO_EE Luiz Schunck;0,0
INSTITUICAO_ENSINO_EE Maria André Schunck Dona;0,0
INSTITUICAO_ENSINO_EE Mario Francisco de Amorim;0,0
