RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO;PEDRA_ANALISE
RA-443;2;P;Aluno-443;2009,0;13,0;Feminino;2019;Escola Pública;Ametista;Ametista;Ametista;7,482;321,0;48,0;4,0;3,0;Avaliador-5;Promovido de Fase;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase + Bolsa;;;9,0;9,1;7,5;Não atendido;5,6;8,0;3,2;;Sim;Sim;8,5;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,482;1;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Excelente;Médio;Sem informação;3,4000000000000004;3,5;;7,94;0;1;;0,672233705493807;Misto;1;nan
RA-444;2;P;Aluno-444;2011,0;11,0;Masculino;2018;Escola Pública;Ágata;Ametista;Ágata;6,665;601,0;99,0;8,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,0;7,2;5,0;Requer avaliação;3,1;1,5;4,7;;Não;Não;7,778;10,0;Fase 2 (5º e 6º ano);0,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,665;0;Médio;Excelente;Bom;Médio;Sem informação;Baixo;Bom;Excelente;Sem informação;5,9;4,1;;6,4156;1;2;;0,7782579345078049;Psico abaixo de 7;1;nan
RA-445;2;P;Aluno-445;2010,0;12,0;Masculino;2022;Escola Pública;;;Ágata;6,924;518,0;79,0;7,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,0;9,4;7,5;Não atendido;3,8;0,0;7,5;;Não;Não;7,5;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,924;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;5,2;5,6000000000000005;;7,44;1;1;;0,7106715332445422;Misto;1;nan
RA-448;2;P;Aluno-448;2011,0;11,0;Feminino;2022;Escola Pública;;;Ametista;7,972;150,0;19,0;3,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,0;9,7;7,5;Não atendido;5,5;5,0;6,0;;Não;Não;8,111;10,0;Fase 2 (5º e 6º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,972;0;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Bom;Excelente;Sem informação;3,5;4,199999999999999;;7,9622;0;1;;0,672233705493807;Misto;1;nan
RA-452;2;Q;Aluno-452;2009,0;13,0;Feminino;2021;Escola Pública;;Ametista;Ágata;6,287;690,0;127,0;10,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,0;5,6;7,5;Não atendido;4,8;5,0;4,5;;Não;Não;7,167;5,0;Fase 3 (7º e 8º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,287;1;Médio;Excelente;Médio;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;4,2;0,7999999999999998;;6,8134;1;2;;0,7596713301976176;IDA e IEG < 7;1;nan
RA-454;2;Q;Aluno-454;2008,0;14,0;Masculino;2018;Escola Pública;Quartzo;Ágata;Quartzo;5,561;779,0;145,0;12,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,5;8,6;5,0;Não indicado;2,3;0,0;4,7;;Não;Não;5,444;5,0;Fase 4 (9º ano);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,561;1;Médio;Excelente;Excelente;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;7,2;6,3;;6,1688;1;3;;0,7440372920464233;Psico abaixo de 7;1;nan
RA-458;2;Q;Aluno-458;2009,0;13,0;Masculino;2019;Escola Pública;Ametista;Quartzo;Ágata;6,512;642,0;113,0;8,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;8,0;7,7;7,5;Não atendido;5,6;4,7;6,5;;Não;Não;5,833;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,512;1;Médio;Bom;Bom;Bom;Sem informação;Médio;Médio;Médio;Sem informação;2,4000000000000004;2,1000000000000005;;6,926599999999999;0;2;;0,7455846760151623;Misto;1;nan
RA-462;2;Q;Aluno-462;2008,0;14,0;Masculino;2022;Escola Pública;;;Ágata;6,626;616,0;106,0;7,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;10,0;8,5;7,5;Sem limitações;3,6;2,0;5,2;;Não;Não;6,778;5,0;Fase 4 (9º ano);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,626;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;6,4;4,9;;7,2756;1;2;;0,7440372920464233;Misto;1;nan
RA-463;2;U;Aluno-463;2010,0;12,0;Feminino;2020;Escola Pública;Quartzo;Quartzo;Ágata;6,41;658,0;119,0;11,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;10,0;7,8;7,5;Não atendido;2,5;2,0;3,0;;Não;Não;7,389;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,41;1;Médio;Excelente;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;7,5;5,3;;7,0378;1;1;;0,7478411811990889;Misto;1;nan
RA-466;2;U;Aluno-466;2009,0;13,0;Masculino;2022;Escola Pública;;;Ágata;6,826;546,0;85,0;6,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;8,5;9,7;7,5;Não atendido;3,3;0,5;6,0;;Não;Não;7,556;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,826;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;5,2;6,3999999999999995;;7,3111999999999995;1;1;;0,7106715332445422;Misto;1;nan
RA-468;2;U;Aluno-468;2009,0;13,0;Masculino;2022;Escola Pública;;;Ágata;6,313;682,0;125,0;13,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,5;6,7;7,5;Não atendido;4,1;4,5;3,7;;Não;Não;6,722;5,0;Fase 3 (7º e 8º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,313;1;Médio;Excelente;Médio;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;5,4;2,6000000000000005;;6,9044;1;3;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-469;2;U;Aluno-469;2011,0;11,0;Feminino;2022;Escola Pública;;;Ametista;7,624;263,0;41,0;2,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,0;9,6;5,0;Requer avaliação;5,7;6,2;5,2;;Não;Não;7,833;10,0;Fase 2 (5º e 6º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,624;0;Bom;Excelente;Excelente;Médio;Sem informação;Médio;Bom;Excelente;Sem informação;3,3;3,8999999999999995;;7,4266000000000005;0;2;;0,7082121865144276;Psico abaixo de 7;1;nan
RA-472;2;U;Aluno-472;2010,0;12,0;Feminino;2022;Escola Pública;;;Quartzo;5,93;735,0;133,0;14,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,0;7,0;7,5;Não atendido;2,0;1,8;2,2;;Não;Não;7,056;5,0;Fase 3 (7º e 8º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,93;1;Médio;Excelente;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;7,0;5,0;;6,5112;1;1;;0,7478411811990889;Misto;1;nan
RA-473;2;U;Aluno-473;2010,0;12,0;Masculino;2019;Escola Pública;Ametista;Ametista;Quartzo;5,915;737,0;134,0;15,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;8,0;6,1;7,5;Não atendido;4,3;4,5;4,0;;Não;Não;5,889;5,0;Fase 3 (7º e 8º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,915;1;Médio;Bom;Médio;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;3,7;1,7999999999999998;;6,3578;1;3;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-474;2;U;Aluno-474;2009,0;13,0;Masculino;2019;Escola Pública;Ametista;Ametista;Ágata;6,446;650,0;115,0;10,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,5;9,1;7,5;Não atendido;3,0;1,3;4,7;;Não;Não;6,0;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,446;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;6,5;6,1;;7,0200000000000005;1;2;;0,7440372920464233;Misto;1;nan
RA-475;2;U;Aluno-475;2010,0;12,0;Feminino;2022;Escola Pública;;;Ametista;7,199;430,0;63,0;4,0;3,0;Avaliador-5;Promovido de Fase;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;8,5;9,2;7,5;Não atendido;5,8;3,3;8,3;;Não;Não;7,667;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,199;1;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Bom;Médio;Sem informação;2,7;3,3999999999999995;;7,7334000000000005;0;1;;0,672233705493807;Misto;1;nan
RA-476;2;U;Aluno-476;2010,0;12,0;Feminino;2019;Escola Pública;Ágata;Ametista;Ágata;6,931;513,0;78,0;5,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,0;9,3;4,4;Requer avaliação;5,5;5,0;6,0;;Não;Não;7,556;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,931;1;Médio;Excelente;Excelente;Baixo;Sem informação;Médio;Bom;Médio;Sem informação;3,5;3,8000000000000007;;7,1512;1;2;;0,7082121865144276;Psico abaixo de 7;1;nan
RA-478;2;U;Aluno-478;2010,0;12,0;Feminino;2019;Escola Pública;Ametista;Ametista;Ágata;6,709;588,0;96,0;8,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;8,5;9,1;5,6;Requer avaliação;4,9;3,8;6,0;;Não;Não;7,056;5,0;Fase 3 (7º e 8º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,709;1;Médio;Excelente;Excelente;Médio;Sem informação;Baixo;Bom;Médio;Sem informação;3,5999999999999996;4,199999999999999;;7,0312;1;2;;0,7236010008082742;Psico abaixo de 7;1;nan
RA-481;1;A;Aluno-481;2013,0;9,0;Masculino;2021;Escola Pública;;Topázio;Ametista;7,21;424,0;109,0;9,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,0;8,0;7,5;Não atendido;5,2;5,7;4,7;;Não;Não;6,889;10,0;Fase 1 (4º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,21;0;Bom;Excelente;Bom;Bom;Sem informação;Médio;Médio;Excelente;Sem informação;3,8;2,8;;7,3178;0;2;;0,7879013992053588;Misto;1;nan
RA-482;1;A;Aluno-482;2011,0;11,0;Masculino;2021;Escola Pública;;Ametista;Ágata;6,866;532,0;134,0;10,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;10,0;7,9;7,5;Não atendido;5,5;4,3;6,7;;Não;Não;6,833;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,866;1;Médio;Excelente;Bom;Bom;Sem informação;Médio;Médio;Médio;Sem informação;4,5;2,4000000000000004;;7,5466;0;2;;0,7879013992053588;Misto;1;nan
RA-483;1;A;Aluno-483;2011,0;11,0;Feminino;2019;Escola Pública;Ametista;Ágata;Quartzo;5,263;805,0;185,0;13,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,0;4,8;5,0;Requer avaliação;2,4;2,0;2,8;;Não;Não;6,833;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,263;1;Médio;Excelente;Baixo;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;6,6;2,4;;5,6066;2;4;;0,816477819174182;IDA e IEG < 7;1;nan
RA-485;1;A;Aluno-485;2012,0;10,0;Masculino;2020;Escola Pública;Topázio;Ágata;Quartzo;4,742;837,0;191,0;14,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,5;4,0;7,5;Não atendido;1,2;1,0;1,3;;Não;Não;5,444;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;4,742;1;Baixo;Excelente;Baixo;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;8,3;2,8;;5,5287999999999995;2;3;;0,816477819174182;IDA e IEG < 7;1;nan
RA-489;1;A;Aluno-489;2013,0;9,0;Feminino;2022;Escola Pública;;;Quartzo;5,853;743,0;176,0;12,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,0;7,2;7,5;Não atendido;0,0;0,0;0,0;;Não;Não;6,5;10,0;Fase 1 (4º ano);0,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,853;0;Médio;Excelente;Bom;Bom;Sem informação;Baixo;Médio;Excelente;Sem informação;9,0;7,2;;6,04;1;2;;0,816477819174182;Misto;1;nan
RA-496;1;B;Aluno-496;2011,0;11,0;Masculino;2018;Escola Pública;Quartzo;Quartzo;Ágata;6,683;595,0;145,0;12,0;3,0;Avaliador-4;Promovido de Fase;Avaliador-2;Promovido de Fase;Avaliador-15;Promovido de Fase;;;8,5;6,8;7,5;Requer avaliação;5,7;5,8;5,5;;Não;Não;7,556;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,683;1;Médio;Excelente;Médio;Bom;Sem informação;Médio;Bom;Médio;Sem informação;2,8;1,0999999999999996;;7,2112;0;2;;0,7879013992053588;IDA e IEG < 7;1;nan
RA-508;1;C;Aluno-508;2012,0;10,0;Masculino;2022;Escola Pública;;;Ágata;6,575;636,0;155,0;10,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;8,0;7,4;7,5;Não atendido;4,5;0,0;9,0;;Não;Não;7,556;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,575;1;Médio;Bom;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;3,5;2,9000000000000004;;6,991199999999999;1;1;;0,7898883504237222;Misto;1;nan
RA-511;1;C;Aluno-511;2012,0;10,0;Feminino;2022;Escola Pública;;;Ametista;7,094;458,0;117,0;7,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;8,0;10,0;7,5;Não atendido;5,3;2,0;8,5;;Não;Não;7,056;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,094;1;Bom;Bom;Excelente;Bom;Sem informação;Médio;Bom;Médio;Sem informação;2,7;4,7;;7,5712;0;1;;0,7222051328593574;Misto;1;nan
RA-514;1;C;Aluno-514;2013,0;9,0;Feminino;2022;Escola Pública;;;Ametista;7,039;476,0;123,0;8,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;8,0;9,7;7,5;Não atendido;4,8;2,0;7,5;;Não;Não;5,889;10,0;Fase 1 (4º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,039;0;Bom;Bom;Excelente;Bom;Sem informação;Baixo;Médio;Excelente;Sem informação;3,2;4,8999999999999995;;7,1778;1;2;;0,768438619782006;Misto;1;nan
RA-515;1;C;Aluno-515;2010,0;12,0;Masculino;2022;Escola Pública;;;Ágata;6,582;631,0;154,0;9,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;8,0;6,3;7,5;Não atendido;5,8;8,5;3,2;;Não;Não;7,556;5,0;Fase 3 (7º e 8º ano);-2,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,582;1;Médio;Bom;Médio;Bom;Sem informação;Médio;Bom;Médio;Sem informação;2,2;0,5;;7,0312;0;2;;0,7879013992053588;IDA e IEG < 7;1;nan
RA-529;1;D;Aluno-529;2010,0;12,0;Masculino;2020;Escola Pública;Ágata;Ametista;Ágata;6,51;643,0;156,0;12,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;8,5;8,9;5,0;Requer avaliação;5,2;3,3;7,0;;Não;Não;6,556;5,0;Fase 3 (7º e 8º ano);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,51;1;Médio;Excelente;Excelente;Médio;Sem informação;Médio;Médio;Médio;Sem informação;3,3;3,7;;6,8312;0;3;;0,7546999169844855;Psico abaixo de 7;1;nan
RA-532;1;E;Aluno-532;2013,0;9,0;Feminino;2022;Escola Pública;;;Ametista;7,792;203,0;49,0;3,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;9,5;9,7;7,5;Não atendido;5,5;4,0;7,0;;Não;Não;7,167;10,0;Fase 1 (4º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,792;0;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Bom;Excelente;Sem informação;4,0;4,199999999999999;;7,873400000000001;0;1;;0,7222051328593574;Misto;1;nan
RA-535;1;F;Aluno-535;2012,0;10,0;Feminino;2019;Escola Pública;Topázio;Ametista;Ágata;6,953;504,0;131,0;6,0;2,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Não avaliado;;;9,0;9,2;7,5;Sem limitações;5,1;4,7;5,5;;Não;Não;6,917;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,953;1;Médio;Excelente;Excelente;Bom;Sem informação;Médio;Médio;Médio;Sem informação;3,9000000000000004;4,1;;7,5434;0;2;;0,7546999169844855;Misto;1;nan
RA-537;1;F;Aluno-537;2012,0;10,0;Masculino;2022;Escola Pública;;;Ágata;6,641;612,0;147,0;7,0;2,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Não avaliado;;;9,5;9,0;4,4;Requer avaliação;4,8;2,5;7,0;;Não;Não;7,167;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,641;1;Médio;Excelente;Excelente;Baixo;Sem informação;Baixo;Bom;Médio;Sem informação;4,7;4,2;;6,9734;2;2;;0,768438619782006;Psico abaixo de 7;1;nan
RA-541;1;F;Aluno-541;2008,0;14,0;Masculino;2022;Escola Pública;;;Quartzo;5,427;793,0;182,0;10,0;2,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Não avaliado;;;10,0;7,8;6,9;Sem limitações;2,5;0,0;5,0;;Não;Não;5,0;2,5;Fase 4 (9º ano);-3,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,427;1;Médio;Excelente;Bom;Médio;Sem informação;Baixo;Médio;Baixo;Sem informação;7,5;5,3;;6,44;1;3;;0,816477819174182;Psico abaixo de 7;1;nan
RA-544;1;F;Aluno-544;2012,0;10,0;Masculino;2022;Escola Pública;;;Ágata;6,307;686,0;165,0;9,0;2,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Não avaliado;;;9,5;9,7;5,6;Requer avaliação;3,3;1,0;5,5;;Não;Não;6,0;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,307;1;Médio;Excelente;Excelente;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;6,2;6,3999999999999995;;6,8199999999999985;1;3;;0,7865377035001163;Psico abaixo de 7;1;nan
